country_id,year,top_10_richest_share,bottom_50_poorest_share,top_1_richest_share,gdp,gini,palma_ratio
1,1990,41.74,17.48,16.17,,52.01,3.59
1,1991,41.74,17.47,16.17,,52.01,3.59
1,1992,41.74,17.47,16.17,,52.02,3.6
1,1993,41.74,17.47,16.17,,52.02,3.6
1,1994,41.74,17.47,16.17,,52.01,3.59
1,1995,41.75,17.47,16.17,,52.02,3.6
1,1996,41.75,17.46,16.18,,52.03,3.6
1,1997,41.75,17.46,16.18,,52.03,3.6
1,1998,41.75,17.46,16.18,,52.03,3.6
1,1999,41.75,17.46,16.18,,52.03,3.6
1,2000,41.75,17.46,16.18,3521418060,52.04,3.6
1,2001,41.75,17.46,16.18,2813571754,52.04,3.6
1,2002,41.76,17.45,16.18,3825701439,52.04,3.6
1,2003,41.58,17.65,16.1,4520946819,51.74,3.53
1,2004,41.57,17.68,16.1,5224896719,51.69,3.52
1,2005,41.62,17.67,16.15,6203256539,51.73,3.53
1,2006,41.39,17.76,15.95,6971758282,51.53,3.49
1,2007,41.08,18.06,15.77,9747886187,51.04,3.39
1,2008,40.85,18.3,15.65,10109297048,50.65,3.32
1,2009,39.66,18.92,14.71,12416152732,49.54,3.1
1,2010,38.46,20,14.07,15856668556,47.78,2.8
1,2011,37.67,20.36,13.38,17805098206,47.14,2.69
1,2012,37.43,20.18,13.03,19907329778,47.31,2.71
1,2013,37.44,19.91,12.85,20146416758,47.63,2.76
1,2014,37.89,19.97,13.2,20497128556,47.71,2.77
1,2015,38.26,19.57,13.26,19134221645,48.33,2.87
1,2016,39.11,19.45,13.99,18116572395,48.8,2.93
1,2017,39.77,18.98,14.39,18753456498,49.61,3.06
1,2022,39.79,18.77,14.76,14502158192,49.63,3.15
2,1996,31.81,20.1,7.94,3199640815,44.85,2.46
2,2002,32.41,19.72,8.26,4348068242,45.52,2.56
2,2005,30.44,20.68,7.66,8052077248,43.34,2.24
2,2008,30.79,20.61,7.89,12881352894,43.58,2.27
2,2012,31.08,20.73,8.26,12319834195,43.49,2.28
2,2015,31.6,20.17,8.53,11386853113,44.32,2.39
2,2016,32.95,19.15,8.9,11861199831,45.81,2.67
2,2017,32.14,19.59,8.42,13019726212,45.07,2.53
2,2018,31.48,19.96,8.05,15156424015,44.38,2.42
2,2022,30.74,20.68,7.98,18916378861,43.3,2.25
3,1990,44.49,16.73,14.87,62048507531,53.98,3.95
3,1991,44.18,16.58,14.35,45715676428,54.01,3.98
3,1992,43.22,16.73,13.44,48003133347,53.4,3.87
3,1993,42,16.99,12.39,49945584453,52.56,3.71
3,1994,40.97,17.24,11.49,42543176829,51.81,3.57
3,1995,40.01,17.42,10.59,41764291672,51.17,3.46
3,1996,39.56,17.64,10.32,46941554225,50.75,3.38
3,1997,39.1,17.91,10.09,48177612042,50.25,3.28
3,1998,38.74,18.14,9.93,48187781984,49.86,3.21
3,1999,38.68,18.57,10.01,48640671735,49.3,3.09
3,2000,38.73,18.64,10.08,54790398570,49.24,3.08
3,2001,38.21,19.1,9.87,59413400924,48.51,2.95
3,2002,37.74,19.4,9.64,61516103406,47.97,2.87
3,2003,37.51,19.67,9.58,73482264191,47.57,2.8
3,2004,37.2,19.91,9.45,91913680985,47.17,2.74
3,2005,37.12,20.02,9.44,107047000000,47.03,2.72
3,2006,36.78,20.29,9.32,123084000000,46.59,2.65
3,2007,36.61,20.51,9.28,142483000000,46.28,2.61
3,2008,36.19,20.88,9.12,180384000000,45.68,2.52
3,2009,35.08,21.73,8.66,150317000000,44.24,2.33
3,2010,35.21,21.62,8.74,177785000000,44.46,2.36
3,2011,35.03,21.86,8.7,218332000000,44.11,2.32
3,2012,34.73,22.16,8.61,227144000000,43.64,2.26
3,2013,34.65,22.2,8.57,229701000000,43.54,2.25
3,2014,34.54,22.32,8.53,238943000000,43.36,2.23
3,2015,34.06,22.68,8.32,187494000000,42.74,2.15
3,2016,34.25,22.46,8.39,180764000000,43.07,2.19
3,2017,34.23,22.47,8.38,189881000000,43.05,2.19
3,2022,34.17,22.55,8.36,225560000000,42.91,2.18
5,1990,57.31,9.78,21.62,,67.17,9.3
5,1991,57.34,9.79,21.66,,67.17,9.29
5,1992,56.7,10.55,21.42,,65.95,8.23
5,1993,56.92,10.31,21.54,5880000000,66.37,8.55
5,1994,57.75,9.46,21.9,4432026144,67.74,9.82
5,1995,57.26,9.91,21.67,5538657322,67.01,9.14
5,1996,57.92,9.28,21.95,6535458385,68.02,10.11
5,1997,57.58,9.69,21.86,7675423799,67.39,9.44
5,1998,58.04,9.2,22.04,6506387247,68.18,10.27
5,1999,58.11,9.15,22.09,6152923310,68.27,10.36
5,2000,57.63,9.58,21.85,9129594970,67.55,9.62
5,2001,55.98,10.5,20.78,8936079118,65.78,8.34
5,2002,55.17,10.59,20.05,15285592370,65.33,8.22
5,2003,54.09,11,19.25,17812704586,64.39,7.72
5,2004,52.97,11.46,18.44,23552057679,63.39,7.23
5,2005,51.08,12.73,17.28,36970900884,61.03,6.06
5,2006,49.88,13.26,16.39,52381025141,59.9,5.65
5,2007,48.41,14.13,15.43,65266415494,58.23,5.07
5,2008,47.8,13.84,14.7,88538665085,58.34,5.21
5,2009,48.16,14.08,15.58,70307196182,58.22,5.09
5,2010,48.37,14.56,16.35,83799474070,57.7,4.84
5,2011,48.85,14.59,17.19,111790000000,57.87,4.84
5,2012,50.66,13.23,18.64,128053000000,60.3,5.68
5,2013,51.34,13.1,19.59,132339000000,60.75,5.78
5,2014,52.44,12.56,20.77,135967000000,61.87,6.19
5,2015,54.02,11.5,22.17,90496420507,63.85,7.14
5,2016,55.39,10.66,23.49,52761617226,65.48,8.07
5,2017,56.21,10.37,24.51,73690154991,66.18,8.44
5,2022,57.29,9.82,25.67,104400000000,67.31,9.19
7,2001,47.97,10.69,12.86,268697000000,61.68,7.8
