country_id,year,total_population,fertility_rate
29,1990,5587052,7.37
29,1991,5703857,7.34
29,1992,5858407,7.30
29,1993,5676843,7.27
29,1994,5713854,7.23
29,1995,6066316,7.18
29,1996,6070506,7.12
29,1997,6070042,7.04
29,1998,6187108,6.96
29,1999,6337155,6.90
29,2000,6470194,6.87
29,2001,6634365,6.85
29,2002,6824132,6.82
29,2003,7043154,6.79
29,2004,7310656,6.75
29,2005,7587299,6.71
29,2006,7865547,6.66
29,2007,8161874,6.59
29,2008,8505637,6.52
29,2009,8947646,6.41
29,2010,9376444,6.26
29,2011,9717978,6.11
29,2012,10071028,5.99
29,2013,10439341,5.89
29,2014,10799785,5.79
29,2015,11047580,5.70
29,2016,11239451,5.59
29,2017,11506762,5.48
29,2018,11859446,5.38
29,2019,12255336,5.27
29,2020,12617036,5.18
29,2021,12965481,5.08
29,2022,13321097,4.98
39,1990,444596,6.51
39,1991,455556,6.35
39,1992,465113,6.19
39,1993,473682,6.02
39,1994,482142,5.86
39,1995,490586,5.73
39,1996,499107,5.63
39,1997,507777,5.51
39,1998,516597,5.39
39,1999,525886,5.28
39,2000,536080,5.23
39,2001,547220,5.20
39,2002,558923,5.16
39,2003,569798,5.12
39,2004,580704,5.07
39,2005,592677,5.01
39,2006,604753,4.93
39,2007,616927,4.86
39,2008,629307,4.81
39,2009,641947,4.78
39,2010,654836,4.76
39,2011,668056,4.72
39,2012,681630,4.65
39,2013,696192,4.57
39,2014,711503,4.49
39,2015,726682,4.42
39,2016,741741,4.35
39,2017,756669,4.28
39,2018,771590,4.21
39,2019,786578,4.14
39,2020,802163,4.07
39,2021,818174,4.00
39,2022,834188,3.94
48,1990,579538,5.93
48,1991,631092,5.86
48,1992,626010,5.75
48,1993,614245,5.64
48,1994,626710,5.51
48,1995,633074,5.33
48,1996,648348,5.15
48,1997,671817,4.97
48,1998,699352,4.80
48,1999,724218,4.69
48,2000,747318,4.60
48,2001,771313,4.52
48,2002,795574,4.41
48,2003,813519,4.30
48,2004,826124,4.16
48,2005,839167,4.04
48,2006,855764,3.90
48,2007,874528,3.76
48,2008,892734,3.62
48,2009,911527,3.52
48,2010,930251,3.43
48,2011,948558,3.34
48,2012,966747,3.26
48,2013,984824,3.19
48,2014,1002717,3.12
48,2015,1020313,3.04
48,2016,1037653,2.97
48,2017,1054841,2.92
48,2018,1071882,2.86
48,2019,1088709,2.80
48,2020,1105188,2.75
48,2021,1121248,2.70
48,2022,1137096,2.65
56,1990,2032737,6.34
56,1991,1919571,6.24
56,1992,1798748,6.16
56,1993,1856006,6.07
56,1994,1913915,6.01
56,1995,2025267,5.94
56,1996,2128464,5.84
56,1997,2152135,5.74
56,1998,2180419,5.63
56,1999,2212780,5.52
56,2000,2247031,5.40
56,2001,2312079,5.31
56,2002,2392978,5.23
56,2003,2493903,5.14
56,2004,2598284,5.04
56,2005,2661215,4.93
56,2006,2703502,4.88
56,2007,2743222,4.81
56,2008,2816327,4.74
56,2009,2887885,4.66
